CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Months_on_book,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct
708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,49,1438.3,0,692,16
708300483,Attrited Customer,66,F,0,Doctorate,Married,Unknown,56,7882,605,704,16
779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,40,1438.3,808,705,19
714374133,Attrited Customer,56,M,2,Graduate,Married,$120K +,36,15769,0,602,15
712030833,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,35,34516,0,691,15
711013983,Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,45,2158,0,615,12
711887583,Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,37,5449,1628,836,18
720201033,Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,41,11669,2227,720,23
789322833,Attrited Customer,48,F,5,High School,Married,Less than $40K,38,8025,0,673,18
767712558,Attrited Customer,59,M,1,College,Single,$60K - $80K,53,14979,0,530,10
712950783,Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,38,2732,0,739,16
713741358,Attrited Customer,46,M,5,Graduate,Single,$80K - $120K,33,32975,2517,597,17
708953883,Attrited Customer,53,M,2,Unknown,Married,$80K - $120K,36,3212,0,757,20
708868233,Attrited Customer,68,M,0,High School,Married,Less than $40K,52,1438.3,900,760,21
719808558,Attrited Customer,55,F,2,Graduate,Married,Less than $40K,43,1438.3,0,886,27
711551958,Attrited Customer,59,M,2,Post-Graduate,Married,$60K - $80K,46,1438.3,0,844,24
772336458,Attrited Customer,60,F,1,Uneducated,Married,$40K - $60K,50,1438.3,1025,702,12
720997383,Attrited Customer,52,M,1,Uneducated,Married,$80K - $120K,36,1857,1833,829,17
710299608,Attrited Customer,53,F,2,Unknown,Married,Less than $40K,33,2859,2517,817,30
821797008,Attrited Customer,49,M,5,College,Married,$40K - $60K,45,1438.3,0,815,21
708874533,Attrited Customer,45,F,2,College,Married,Less than $40K,36,3387,0,510,24
712125258,Attrited Customer,46,M,4,High School,Married,$120K +,30,2442,0,701,19
772390908,Attrited Customer,59,M,0,High School,Single,$40K - $60K,48,3616,1054,687,17
778867533,Attrited Customer,59,F,0,Post-Graduate,Married,$40K - $60K,40,1438.3,0,689,23
771809733,Attrited Customer,64,F,0,High School,Married,$40K - $60K,53,3353,0,960,18
719211558,Attrited Customer,45,M,2,Graduate,Single,$60K - $80K,36,3401,0,744,18
718621608,Attrited Customer,54,F,2,High School,Married,Unknown,44,6094,0,909,14
720272958,Attrited Customer,48,M,2,High School,Married,$120K +,36,27126,0,1000,25
709173108,Attrited Customer,54,F,4,Graduate,Married,Unknown,40,2532,2221,799,21
708330858,Attrited Customer,57,M,3,Graduate,Married,$120K +,38,8249,1381,678,11
709278258,Attrited Customer,54,M,2,Unknown,Married,$40K - $60K,44,2902,2517,996,26
714871683,Attrited Customer,58,M,1,Uneducated,Married,$40K - $60K,36,1438.3,537,715,13
708288108,Attrited Customer,43,M,4,Post-Graduate,Unknown,$80K - $120K,30,5639,1547,647,15
717354558,Attrited Customer,57,M,2,Uneducated,Married,$120K +,40,3106,1120,683,17
714639783,Attrited Customer,42,M,3,College,Married,$60K - $80K,34,13450,0,1000,18
778868958,Attrited Customer,42,F,2,Graduate,Married,Less than $40K,23,1929,1673,857,36
710940183,Attrited Customer,49,F,3,Graduate,Married,Less than $40K,38,2185,0,715,20
709547658,Attrited Customer,39,M,2,Uneducated,Single,$60K - $80K,36,13961,1299,783,20
712159083,Attrited Customer,58,F,4,Unknown,Married,Less than $40K,46,2536,0,901,35
711791583,Attrited Customer,52,F,1,Graduate,Single,Less than $40K,40,2317,0,884,19
712315683,Attrited Customer,53,F,2,Uneducated,Single,Less than $40K,45,1981,1518,973,25
789842283,Attrited Customer,54,M,2,Graduate,Married,$60K - $80K,42,4320,0,706,21
719418933,Attrited Customer,53,M,2,Uneducated,Married,$80K - $120K,36,4503,0,748,20
781794708,Attrited Customer,35,M,3,Post-Graduate,Unknown,$80K - $120K,29,17030,1911,715,25
714272658,Attrited Customer,43,F,2,Uneducated,Single,Less than $40K,24,2962,2517,929,31
767294658,Attrited Customer,56,M,2,College,Single,$120K +,50,16867,0,654,14
708241233,Attrited Customer,52,F,3,Post-Graduate,Single,Less than $40K,47,2972,0,922,25
716223708,Attrited Customer,45,F,3,Uneducated,Single,Unknown,36,4028,710,791,22
719443683,Attrited Customer,50,M,1,Unknown,Single,$120K +,39,27512,2137,1149,25
779610033,Attrited Customer,58,M,1,College,Married,$80K - $120K,47,12151,1799,918,14
709345008,Attrited Customer,53,F,2,Doctorate,Married,Unknown,39,1438.3,0,807,22
721417233,Attrited Customer,45,M,2,Graduate,Married,$60K - $80K,25,1438.3,0,709,27
769137108,Attrited Customer,43,F,2,Post-Graduate,Married,Less than $40K,37,1438.3,0,974,28
717640083,Attrited Customer,59,M,1,High School,Married,$60K - $80K,36,6705,0,731,18
794977533,Attrited Customer,62,M,0,High School,Married,$60K - $80K,56,8077,0,906,16
752604633,Attrited Customer,57,M,2,College,Married,$40K - $60K,50,6462,0,761,17
711242058,Attrited Customer,48,M,4,Unknown,Single,$80K - $120K,36,11862,2517,643,16
